species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
B II	np 1P* J=1	3–5	3	1	untested	2.7–4.6	+0.3284	0.0668	2	202,691.900	derived	unverified
B II	np 3P* J=0	3–6	4	2	untested	2.7–5.8	+0.2231	0.0345	2	202,691.900	derived	unverified
B II	ns 1S J=0	3–6	4	2	untested	2.6–5.6	+0.4303	0.0172	2	202,691.900	derived	unverified
B II	ns 3S J=1	3–7	5	3	untested	2.5–6.5	+0.5211	0.0148	2	202,691.900	derived	unverified
C III	nd 1D J=2	3–7	5	3	untested	3.0–7.0	+0.0067	0.0036	3	386,241.000	published	unverified
C III	nd 3D J=1	3–9	7	5	untested	2.9–8.9	+0.0816	0.0069	3	386,241.000	published	unverified
C III	nf 3F* J=2	4–7	4	2	untested	3.9–7.0	+0.0127	0.0398	3	386,241.000	published	unverified
C III	ng 3G J=3	5–7	3	1	untested	5.0–7.0	+0.0126	0.0021	3	386,241.000	published	unverified
C III	np 1P* J=1	3–8	6	4	untested	2.8–7.8	+0.1806	0.0527	3	386,241.000	published	unverified
C III	np 3P* J=0	3–6	4	2	untested	2.8–5.8	+0.1856	0.0217	3	386,241.000	published	unverified
C III	ns 1S J=0	3–5	3	1	untested	2.7–4.5	+0.3819	0.0499	3	386,241.000	published	unverified
C III	ns 3S J=1	3–7	5	3	untested	2.6–6.6	+0.3993	0.0137	3	386,241.000	published	unverified
O IV	nd 2D J=3/2	3–6	4	2	untested	2.9–5.9	+0.0681	0.0025	4	624,202.200	derived	unverified
O IV	nf 2F* J=5/2	4–7	4	2	untested	4.0–6.9	+0.0408	0.0115	4	624,202.200	derived	unverified
O IV *	ng 2G J=7/2	5–6	2	1	untested	5.0–6.0	-0.0028	0.0018	4	624,202.200	derived	unverified
O IV *	nh 2H* J=9/2	6–7	2	1	untested	6.0–7.0	-0.0125	0.0030	4	624,202.200	derived	unverified
O IV	np 2P* J=1/2	3–5	3	1	untested	2.7–4.8	+0.2462	0.0106	4	624,202.200	derived	unverified
O IV	ns 2S J=1/2	3–5	3	1	untested	2.6–4.5	+0.4408	0.0072	4	624,202.200	derived	unverified
F I	nd 4D J=7/2	3–6	4	2	untested	3.0–6.0	+0.0323	0.0008	1	140,518.700	derived	unverified
F I	nd 4F J=9/2	3–6	4	2	untested	3.0–6.0	+0.0149	0.0012	1	140,518.700	derived	unverified
F I *	np 4D* J=7/2	3–4	2	1	untested	2.2–3.2	+0.8308	0.0097	1	140,518.700	derived	unverified
F I	ns 2P J=3/2	3–6	4	2	untested	1.8–4.9	+1.1857	0.0604	1	140,518.700	derived	unverified
F I	ns 4P J=5/2	3–8	6	4	untested	1.7–6.7	+1.2800	0.0117	1	140,518.700	derived	unverified
Ge III	nd 1D J=2	4–6	3	1	untested	3.2–5.1	+0.8820	0.0572	3	274,693.000	published	unverified
Ge III	nd 3D J=1	4–6	3	1	untested	3.0–5.0	+1.0025	0.0189	3	274,693.000	published	unverified
Ge III *	ng 3G J=3	5–6	2	1	untested	5.0–6.0	+0.0181	0.0010	3	274,693.000	published	unverified
Ge III	ns 1S J=0	5–7	3	1	untested	3.0–5.0	+2.0116	0.0057	3	274,693.000	published	unverified
Ge III	ns 3S J=1	5–8	4	2	untested	2.9–6.0	+2.0576	0.0162	3	274,693.000	published	unverified
K I	nd 2D J=5/2	3–13	11	9	untested	2.9–12.7	+0.2460	0.0380	1	35,010.600	derived	verified
K I	nf 2F* J=5/2	4–12	9	7	untested	4.0–12.0	+0.0112	0.0030	1	35,010.600	derived	verified
K I	np 2P* J=1/2	4–15	12	10	untested	2.2–13.3	+1.7268	0.0133	1	35,010.600	derived	unverified
K I	ns 2S J=1/2	4–18	15	13	untested	1.8–15.8	+2.1912	0.0111	1	35,010.600	derived	verified
O III	nd 1D* J=2	3–5	3	1	untested	2.9–4.9	+0.1196	0.0040	3	443,325.200	derived	unverified
O III *	nd 3D* J=1	3–4	2	1	untested	2.9–3.9	+0.0791	0.0043	3	443,325.200	derived	unverified
O III	nd 3F* J=2	3–5	3	1	untested	2.9–4.9	+0.1290	0.0090	3	443,325.200	derived	unverified
O III *	np 3D J=1	3–4	2	1	untested	2.6–3.6	+0.4221	0.0073	3	443,325.200	derived	unverified
O III	ns 1P* J=1	3–5	3	1	untested	2.4–4.4	+0.5852	0.0048	3	443,325.200	derived	unverified
O III	ns 3P* J=0	3–5	3	1	untested	2.4–4.4	+0.6250	0.0048	3	443,325.200	derived	unverified
C I *	nd 1F* J=3	3–4	2	1	untested	3.0–4.0	+0.0320	0.0059	1	90,937.500	derived	unverified
C I *	nd 3D* J=1	3–4	2	1	untested	2.9–3.9	+0.0638	0.0097	1	90,937.500	derived	unverified
C I *	np 3D J=1	3–4	2	1	untested	2.3–3.3	+0.7201	0.0073	1	90,937.500	derived	unverified
C I *	np 3P J=0	3–4	2	1	untested	2.4–3.4	+0.6284	0.0046	1	90,937.500	derived	unverified
C I *	np 3S J=1	3–4	2	1	untested	2.3–3.3	+0.6641	0.0048	1	90,937.500	derived	unverified
C I	ns 1P* J=1	3–5	3	1	untested	1.9–3.9	+1.0532	0.0037	1	90,937.500	derived	unverified
C I	ns 3P* J=0	3–5	3	1	untested	1.9–3.9	+1.0925	0.0127	1	90,937.500	derived	unverified
P II *	np 3P J=0	4–5	2	1	untested	2.8–3.8	+1.1670	0.0004	2	159,929.200	derived	unverified
P II	ns 3P* J=0	4–6	3	1	untested	2.4–4.4	+1.5468	0.0075	2	159,929.200	derived	unverified
S III *	ns 3P* J=0	4–5	2	1	untested	2.7–3.7	+1.2846	0.0049	3	281,130.000	published	unverified
