species	channel	n	levels	interior	bracket	nstar	delta	spread	Zeff	limit	limprov	lit
Ar II *	ng 2[4] J=7/2	6–7	2	1	untested	6.0–7.0	+0.0114	0.0001	2	222,848.300	published	unverified
Ar II *	ng 2[5] J=11/2	6–7	2	1	untested	6.0–7.0	+0.0119	0.0002	2	222,848.300	published	unverified
Ar II *	ng 2[5] J=9/2	6–7	2	1	untested	6.0–7.0	+0.0119	0.0002	2	222,848.300	published	unverified
Ar II *	nh 2[3]* J=5/2	6–7	2	1	untested	6.0–7.0	-0.0017	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[3]* J=7/2	6–7	2	1	untested	6.0–7.0	-0.0017	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[4]* J=7/2	6–7	2	1	untested	6.0–7.0	+0.0021	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[4]* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0021	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[5]* J=11/2	6–7	2	1	untested	6.0–7.0	+0.0047	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[5]* J=9/2	6–7	2	1	untested	6.0–7.0	+0.0047	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[6]* J=11/2	6–7	2	1	untested	6.0–7.0	+0.0045	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[6]* J=13/2	6–7	2	1	untested	6.0–7.0	+0.0045	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[7]* J=13/2	6–7	2	1	untested	6.0–7.0	-0.0000	0.0001	2	222,848.300	published	unverified
Ar II *	nh 2[7]* J=15/2	6–7	2	1	untested	6.0–7.0	-0.0000	0.0001	2	222,848.300	published	unverified
Ar II *	ni 2[4] J=7/2	7–8	2	1	untested	7.0–8.0	-0.0009	0.0005	2	222,848.300	published	unverified
Ar II *	ni 2[4] J=9/2	7–8	2	1	untested	7.0–8.0	-0.0009	0.0005	2	222,848.300	published	unverified
Ar II *	ni 2[5] J=11/2	7–8	2	1	untested	7.0–8.0	+0.0012	0.0003	2	222,848.300	published	unverified
Ar II *	ni 2[5] J=9/2	7–8	2	1	untested	7.0–8.0	+0.0012	0.0003	2	222,848.300	published	unverified
Ar II *	ni 2[6] J=11/2	7–8	2	1	untested	7.0–8.0	+0.0025	0.0002	2	222,848.300	published	unverified
Ar II *	ni 2[6] J=13/2	7–8	2	1	untested	7.0–8.0	+0.0025	0.0002	2	222,848.300	published	unverified
Ar II *	ni 2[7] J=13/2	7–8	2	1	untested	7.0–8.0	+0.0023	0.0002	2	222,848.300	published	unverified
