Z	charge	l	mult	term	parent	language	n_lo	n_hi	members_stored	members_found	count_match	delta_stored	delta_median	delta_mean	delta_asym	spread	bracketed	asym_bracketed	delta_status	refusal
72	1	1	5	z 5F*	a_4F	LS	6	6	5	5	yes	4.13646	4.13646	4.12638	4.18493	0.13539	0	no	void — limit is not this parent's core	
72	1	0	3	a 3G	b_2G	LS	6	6	3	3	yes	4.14221	4.14221	4.13754	4.15300	0.03560	0	no	void — limit is not this parent's core	
72	1	0	3	b 3F	b_4F	LS	6	6	3	3	yes	4.07994	4.07994	4.07977	4.14002	0.12065	0	no	void — limit is not this parent's core	
72	1	0	3	a 3D	c_2D	LS	6	6	3	3	yes	4.08628	4.08628	4.08300	4.13075	0.09879	0	no	usable	
72	1	1	5	z 5D*	a_4F	LS	6	6	5	5	yes	4.06847	4.06847	4.05816	4.09002	0.08648	0	no	void — limit is not this parent's core	
72	1	0	3	c 3P	b_2P	LS	6	6	3	3	yes	4.02488	4.02488	4.02594	4.07467	0.09641	0	no	void — limit is not this parent's core	
72	1	0	3	a 3H	2H	LS	6	6	3	3	yes	4.02397	4.02397	4.03744	4.06701	0.04567	0	no	void — limit is not this parent's core	
72	1	1	3	y 3F*	a_4F	LS	6	6	3	3	yes	3.99851	3.99851	3.96359	4.01670	0.14113	0	no	void — limit is not this parent's core	
72	1	1	5	y 5D*	a_4P	LS	6	6	5	5	yes	3.91714	3.91714	3.92058	4.01378	0.19313	0	no	void — limit is not this parent's core	
72	1	1	3	y 3D*	a_4F	LS	6	6	3	3	yes	3.95568	3.95568	3.94615	3.97573	0.06871	0	no	void — limit is not this parent's core	
72	1	0	3	b 3P	b_4P	LS	6	6	3	3	yes	3.90075	3.90075	3.92029	3.96581	0.07151	0	no	void — limit is not this parent's core	
72	1	1	3	z 3G*	a_4F	LS	6	6	3	3	yes	3.93768	3.93768	3.92206	3.96367	0.09884	0	no	void — limit is not this parent's core	
72	1	0	3	c 3F	b_2F	LS	6	6	3	3	yes	3.83778	3.83778	3.84497	3.86139	0.02565	0	no	void — limit is not this parent's core	
72	1	1	5	z 5P*	a_4P	LS	6	6	3	3	yes	3.76286	3.76286	3.78168	3.82022	0.05826	0	no	void — limit is not this parent's core	
72	1	1	3	y 3G*	a_2F	LS	6	6	3	3	yes	3.71694	3.71694	3.70312	3.79227	0.19211	0	no	void — limit is not this parent's core	
72	1	1	3	x 3D*	a_4P	LS	6	6	3	3	yes	3.66343	3.66343	3.66195	3.76202	0.20163	0	no	void — limit is not this parent's core	
72	1	1	3	x 3F*	a_2F	LS	6	6	3	3	yes	3.71940	3.71940	3.68524	3.74130	0.14627	0	no	void — limit is not this parent's core	
72	1	1	3	w 3F*	a_2G	LS	6	6	3	3	yes	3.63346	3.63346	3.62197	3.71693	0.20141	0	no	void — limit is not this parent's core	
72	1	1	3	w 3D*	a_2F	LS	6	6	3	3	yes	3.54954	3.54954	3.55504	3.68359	0.25162	0	no	void — limit is not this parent's core	
72	1	1	3	z 3H*	a_2G	LS	6	6	3	3	yes	3.57291	3.57291	3.58595	3.67164	0.15834	0	no	void — limit is not this parent's core	
72	1	0	3	b 3D	2D	LS	6	6	3	3	yes	3.53151	3.53151	3.53615	3.56607	0.05519	0	no	usable	
