Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
40	0	1	3	2.98214	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3D* [] n=5-5	0.03599	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.96066	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3D* [] n=5-5	0.02250	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.94192	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3P* [] n=5-5	0.00401	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.91719	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3H* [] n=5-5	0.02892	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.89468	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3G* [a_2F] n=5-5	0.02533	witnessed	3 members; limit 53507.832	A
40	0	1	5	2.90123	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5F* [] n=5-5	0.01567	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.89638	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3P* [] n=5-5	0.01179	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.88146	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3D* [] n=5-5	0.02052	witnessed	3 members; limit 53507.832	A
40	0	1	5	2.85411	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 5D* [] n=5-5	0.01171	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.75707	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3G* [] n=5-5	0.04257	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.66270	measured	NIST ASD fetched 2026-08-14 (session 1.8); series u 3F* [] n=5-5	0.02290	witnessed	3 members; limit 53507.832	A
40	0	1	5	2.65027	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 5D* [] n=5-5	0.05625	witnessed	5 members; limit 53507.832	B
40	0	1	3	2.64245	measured	NIST ASD fetched 2026-08-14 (session 1.8); series u 3D* [] n=5-5	0.04531	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.58412	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 3H* [] n=5-5	0.04429	witnessed	3 members; limit 53507.832	A
40	0	1	5	2.58054	measured	NIST ASD fetched 2026-08-14 (session 1.8); series y 5P* [] n=5-5	0.03081	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.55137	measured	NIST ASD fetched 2026-08-14 (session 1.8); series w 3P* [] n=5-5	0.03091	witnessed	3 members; limit 53507.832	A
40	0	0	5	3.53307	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 5F [4F] n=6-6	0.09164	witnessed	5 members; limit 53507.832	B
40	0	1	3	2.51021	measured	NIST ASD fetched 2026-08-14 (session 1.8); series t 3F* [] n=5-5	0.03410	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.48543	measured	NIST ASD fetched 2026-08-14 (session 1.8); series z 3I* [] n=5-5	0.02793	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.48052	measured	NIST ASD fetched 2026-08-14 (session 1.8); series t 3D* [] n=5-5	0.01236	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.45176	measured	NIST ASD fetched 2026-08-14 (session 1.8); series x 3H* [] n=5-5	0.01851	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.40360	measured	NIST ASD fetched 2026-08-14 (session 1.8); series v 3G* [] n=5-5	0.03817	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.38430	measured	NIST ASD fetched 2026-08-14 (session 1.8); series s 3F* [] n=5-5	0.06538	witnessed	3 members; limit 53507.832	B
40	0	0	3	3.36516	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 3F [4F] n=6-6	0.05388	witnessed	3 members; limit 53507.832	B
40	0	1	3	2.31141	measured	NIST ASD fetched 2026-08-14 (session 1.8); series s 3D* [] n=5-5	0.01466	witnessed	3 members; limit 53507.832	A
40	0	1	3	2.26087	measured	NIST ASD fetched 2026-08-14 (session 1.8); series r 3F* [] n=5-5	0.05692	witnessed	3 members; limit 53507.832	B
40	0	1	3	3.15667	measured	NIST ASD fetched 2026-08-14 (session 1.8); series u 3G* [] n=6-6	0.08134	witnessed	3 members; limit 53507.832	B
40	0	2	5	2.03205	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 5H [4F] n=5-5	0.25613	witnessed	4 members; limit 53507.832	C
40	0	1	3	2.04108	measured	NIST ASD fetched 2026-08-14 (session 1.8); series t 3P* [] n=5-5	0.15132	witnessed	3 members; limit 53507.832	B
40	0	0	5	3.05564	measured	NIST ASD fetched 2026-08-14 (session 1.8); series f 5F [4F] n=6-6	0.04829	witnessed	3 members; limit 53507.832	A
40	0	2	5	2.01654	measured	NIST ASD fetched 2026-08-14 (session 1.8); series e 5G [4F] n=5-5	0.15749	witnessed	5 members; limit 53507.832	B
40	0	1	3	2.87478	measured	NIST ASD fetched 2026-08-14 (session 1.8); series t 3G* [] n=6-6	0.26634	witnessed	3 members; limit 53507.832	C
40	0	1	3	1.85211	measured	NIST ASD fetched 2026-08-14 (session 1.8); series q 3D* [] n=5-5	0.07255	witnessed	3 members; limit 53507.832	B
40	0	1	3	2.72633	measured	NIST ASD fetched 2026-08-14 (session 1.8); series q 3F* [] n=6-6	0.08758	witnessed	3 members; limit 53507.832	B
40	0	1	3	2.27773	measured	NIST ASD fetched 2026-08-14 (session 1.8); series p 3D* [] n=6-6	0.07128	witnessed	3 members; limit 53507.832	B
40	0	1	5	1.00229	measured	NIST ASD fetched 2026-08-14 (session 1.8); series f 5G [] n=5-5	0.57332	witnessed	5 members; limit 53507.832	C
40	0	1	3	2.48124	measured	NIST ASD fetched 2026-08-14 (session 1.8); series o 3D* [] n=7-7	0.41266	witnessed	3 members; limit 53507.832	C
