Z	charge	l	mult	delta	grade	source	B	witness	bound	tier
80	0	1	1	4.02736	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1P* [] n=6-20	0.22763	witnessed	15 members; limit 84184.15	C
80	0	0	3	4.70092	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3S [] n=7-20	0.06196	witnessed	14 members; limit 84184.15	B
80	0	1	2	4.13166	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<5/2>] n=6-20	0.53717	witnessed	16 members; limit 119700.0	C
80	0	2	1	3.08048	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1D [] n=6-20	0.06593	witnessed	15 members; limit 84184.15	B
80	0	2	3	3.05671	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3D [] n=6-20	0.04541	witnessed	45 members; limit 84184.15	A
80	0	3	3	1.03294	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3F* [] n=5-21	0.08672	witnessed	35 members; limit 84184.15	B
80	0	3	1	1.03520	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1F* [] n=5-21	0.10234	witnessed	17 members; limit 84184.15	B
80	0	4	3	0.00379	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3G [] n=5-11	0.05853	witnessed	9 members; limit 84184.15	B
80	0	4	1	0.00352	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 1G [] n=5-11	0.04858	witnessed	7 members; limit 84184.15	A
80	0	1	2	4.22544	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2]* [2D<3/2>] n=6-20	0.51900	witnessed	15 members; limit 134746.0	C
80	0	1	3	3.93442	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 3P [] n=6-6	0.23505	witnessed	3 members; limit 119700.0	C
80	0	1	2	4.17028	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<3/2>] n=6-13	0.21594	witnessed	8 members; limit 134746.0	C
80	0	3	2	1.04341	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<5/2>] n=5-13	0.03146	witnessed	9 members; limit 119700.0	A
80	0	3	2	1.03651	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[1/2]* [2D<5/2>] n=5-13	0.03121	witnessed	9 members; limit 119700.0	A
80	0	3	2	1.03824	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2D<3/2>] n=5-13	0.22176	witnessed	9 members; limit 134746.0	C
49	0	1	2	3.23261	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2P* [] n=5-11	0.26525	witnessed	14 members; limit 46670.107	C
49	0	0	2	3.72626	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2S [] n=6-24	0.07521	witnessed	19 members; limit 46670.107	B
49	0	2	2	2.35880	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2D [] n=5-30	0.24241	witnessed	52 members; limit 46670.107	C
49	0	1	4	1.78993	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 4P [] n=5-5	0.38674	witnessed	3 members; limit 46670.107	C
49	0	3	2	0.03940	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2F* [] n=4-12	0.01038	witnessed	12 members; limit 46670.107	A
36	0	0	2	3.10103	measured	NIST ASD fetched 2026-08-14 (session 1.8); series 2[3/2]* [2P*<3/2>] n=5-20	0.10812	witnessed	32 members; limit 112914.433	B
