# AME2020 Table I — the 2020 atomic mass table.
# Meng Wang, W.J. Huang, F.G. Kondev, G. Audi, S. Naimi,
# Chinese Physics C 45, 030003 (2021), Table I, pages 030003-6 to 030003-75.
# Extracted from the PDF supplied by M, pdftotext -layout, PDF pages 7-76.
#
# THIS IS THE PUBLISHED ROUNDED TABLE, not mass_1.mas20. AME rounds to a
# precision set by the uncertainty, so values differ from the ASCII file by
# up to ~0.1 sigma. Verified against the Argonne mass_1.mas20 text on the
# A = 9 chain: max deviation 4.174 keV on 9He, which is 0.089 sigma.
#
# A is RECOMPUTED as N + Z; the printed A is used only as a check and
# matched on every row where it appears (0 mismatches).
# quality: M = measured, E = estimated (# in the source).
# Z	N	A	symbol	mass_excess_keV	unc_keV	quality
19	16	35	K	-11172.9	0.5	M
19	17	36	K	-17417.2	0.3	M
19	18	37	K	-24800.2	0.09	M
19	19	38	K	-28800.76	0.2	M
19	20	39	K	-33807.195	0.005	M
19	21	40	K	-33535.5	0.06	M
19	22	41	K	-35559.549	0.004	M
19	23	42	K	-35022.03	0.11	M
19	24	43	K	-36575.4	0.4	M
19	25	44	K	-35781.5	0.4	M
19	26	45	K	-36615.6	0.5	M
19	27	46	K	-35413.9	0.7	M
19	28	47	K	-35712.0	1.4	M
19	29	48	K	-32284.5	0.8	M
19	30	49	K	-29611.5	0.8	M
19	31	50	K	-25728.0	8.0	M
19	32	51	K	-22515.0	13.0	M
19	33	52	K	-17140.0	30.0	M
19	34	53	K	-12300.0	110.0	M
19	35	54	K	-5150.0	400.0	E
19	36	55	K	470.0	500.0	E
19	37	56	K	7980.0	600.0	E
19	38	57	K	14130.0	600.0	E
19	39	58	K	21930.0	700.0	E
19	40	59	K	28750.0	800.0	E
20	13	33	Ca	31030.0	400.0	E
20	14	34	Ca	14890.0	300.0	E
20	15	35	Ca	5190.0	200.0	E
20	16	36	Ca	-6450.0	40.0	M
20	17	37	Ca	-13136.1	0.6	M
20	18	38	Ca	-22058.5	0.19	M
20	19	39	Ca	-27282.7	0.6	M
20	20	40	Ca	-34846.402	0.02	M
20	21	41	Ca	-35137.91	0.14	M
20	22	42	Ca	-38547.29	0.15	M
