Z	charge	l	mult	delta	spread	term	parent	language	n_lo	n_hi	members	limit	limit_label	limit_status	delta_status	span	cell_exists
32	1	3	2	-0.00416	0.00490	2[3/2]	2P*<3/2>	jK	4	5	4	65480.6	Ge_II_(4p_2P*<3/2>)	parent-matched	usable	series	no
32	1	2	0	1.31584	1.07465	(1/2,3/2)*		jj	6	67	82	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
32	1	2	0	1.21619	0.90882	(1/2,5/2)*		jj	6	70	90	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
32	1	2	0	0.96223	0.52972	(3/2,5/2)*		jj	6	64	127	65480.6	Ge_II_(4p_2P*<3/2>)	no parent — fallback	usable	series	no
32	1	4	0	0.00683	0.00779	(1/2,7/2)*		jj	6	15	8	63713.24	Ge_II_(4p_2P*<1/2>)	no parent — fallback	usable	series	no
72	1	0	3	4.55686	0.06249	a 3F		LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	0	3	4.49542	0.05492	a 3P		LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	yes
72	1	1	3	4.32008	0.09458	z 3D*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	0	5	4.33057	0.08188	a 5F	b_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	4.35405	0.08252	z 3F*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	5	4.20577	0.20459	z 5G*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	4.27264	0.03984	z 3P*	a_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	0	5	4.20713	0.03812	a 5P	b_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	5	4.13646	0.13539	z 5F*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	4.14221	0.03560	a 3G	b_2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	4.07994	0.12065	b 3F	b_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	4.08628	0.09879	a 3D	c_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	5	4.06847	0.08648	z 5D*	a_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	4.02488	0.09641	c 3P	b_2P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	4.02397	0.04567	a 3H	2H	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.99851	0.14113	y 3F*	a_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	5	3.91714	0.19313	y 5D*	a_4P	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	3.95568	0.06871	y 3D*	a_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	3.90075	0.07151	b 3P	b_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.93768	0.09884	z 3G*	a_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	3.83778	0.02565	c 3F	b_2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	5	3.76286	0.05826	z 5P*	a_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	3.71694	0.19211	y 3G*	a_2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.66343	0.20163	x 3D*	a_4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.71940	0.14627	x 3F*	a_2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.63346	0.20141	w 3F*	a_2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.54954	0.25162	w 3D*	a_2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.57291	0.15834	z 3H*	a_2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	3.53151	0.05519	b 3D	2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	3	3.43831	0.16855	v 3D*	b_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	3	3.45151	0.12560	x 3P*	b_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	0	5	4.21673	0.53204	b 5F	a_4F	LS	7	7	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	4.25224	0.24627	d 3D	a_2D	LS	7	7	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	3	3.27522	0.09775	u 3D*	a_2P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	5	3.19853	0.29573	c 5F	4F	LS	6	6	4	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	2	5	2.18384	0.23321	a 5D		LS	5	5	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	no parent — fallback	usable	single-n	no
72	1	1	3	2.96879	0.64084	v 3F*	b_2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
72	1	1	5	3.08004	0.44051	y 5G*	b_4F	LS	6	6	4	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	3	3.18558	0.10018	w 3P*	a_2P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	3.11924	0.12168	u 3F*	b_2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	3.91877	0.44368	d 3F	a_4F	LS	7	7	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	3.05898	0.07094	e 3D	4D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	5	2.98014	0.13770	b 5D	4D	LS	6	6	4	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	1	5	2.67663	0.65815	y 5F*	b_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	3.64991	0.13658	e 3P	a_4P	LS	7	7	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	5	2.63356	0.15466	b 5P	4P	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	2.57993	0.11117	e 3F	4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	5	2.48419	0.56326	x 5D*	b_4F	LS	6	6	5	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	2.50654	0.12123	f 3F	2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	2.37907	0.14611	g 3F	2F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	1	3	1.98626	0.76153	w 3G*	b_4F	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	5	3.32153	0.26770	c 5P	a_4P	LS	7	7	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	no
72	1	0	3	2.22536	0.19181	b 3G	2G	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	MISMATCHED core	void — limit is not this parent's core	single-n	yes
72	1	0	3	2.23534	0.19254	f 3D	2D	LS	6	6	3	55047.9	Hf_II_(5d.6s2_2D<3/2>)	parent-matched	usable	single-n	yes
