sg	system	bravais	pg_order	k	star	little_order	m	nontrivial_multiplier	n_smallreps	dims	max_dim	sticking
52	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
52	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
53	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
53	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
53	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
54	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	0/1,1/2,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
54	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
54	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
55	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
55	orthorhombic	oP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
55	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
55	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
55	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
55	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
55	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
55	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
56	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
56	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
56	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
57	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
57	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
57	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
57	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
57	orthorhombic	oP	8	1/2,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
57	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
57	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
57	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
58	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
58	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
58	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
59	orthorhombic	oP	8	0/1,0/1,1/2	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
59	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
59	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
60	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
60	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
61	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
61	orthorhombic	oP	8	1/2,1/2,1/2	1	8	2	1	2	2+2	2	1
62	orthorhombic	oP	8	0/1,0/1,0/1	1	8	1	0	8	1+1+1+1+1+1+1+1	1	0
62	orthorhombic	oP	8	0/1,0/1,1/2	1	8	2	1	2	2+2	2	1
62	orthorhombic	oP	8	0/1,1/2,0/1	1	8	2	1	2	2+2	2	1
62	orthorhombic	oP	8	0/1,1/2,1/2	1	8	2	1	2	2+2	2	1
62	orthorhombic	oP	8	1/2,0/1,0/1	1	8	2	1	2	2+2	2	1
62	orthorhombic	oP	8	1/2,0/1,1/2	1	8	2	0	8	1+1+1+1+1+1+1+1	1	0
62	orthorhombic	oP	8	1/2,1/2,0/1	1	8	2	1	2	2+2	2	1
