sg	system	pg_order	little_group	star	factor_order	n_small_reps	max_dim	dims
85	tetragonal	8	4	2	2	1	2	2
86	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
86	tetragonal	8	8	1	2	2	2	2+2
86	tetragonal	8	8	1	2	2	2	2+2
86	tetragonal	8	8	1	2	8	1	1+1+1+1+1+1+1+1
86	tetragonal	8	4	2	2	1	2	2
86	tetragonal	8	4	2	2	1	2	2
87	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
87	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
87	tetragonal	8	4	2	1	4	1	1+1+1+1
87	tetragonal	8	4	2	1	4	1	1+1+1+1
87	tetragonal	8	2	4	1	2	1	1+1
88	tetragonal	8	8	1	1	8	1	1+1+1+1+1+1+1+1
88	tetragonal	8	8	1	2	2	2	2+2
88	tetragonal	8	4	2	2	1	2	2
88	tetragonal	8	4	2	1	4	1	1+1+1+1
88	tetragonal	8	2	4	4	2	1	1+1
89	tetragonal	8	8	1	1	5	2	2+1+1+1+1
89	tetragonal	8	8	1	1	5	2	2+1+1+1+1
89	tetragonal	8	8	1	1	5	2	2+1+1+1+1
89	tetragonal	8	8	1	1	5	2	2+1+1+1+1
89	tetragonal	8	4	2	1	4	1	1+1+1+1
89	tetragonal	8	4	2	1	4	1	1+1+1+1
90	tetragonal	8	8	1	1	5	2	2+1+1+1+1
90	tetragonal	8	8	1	1	5	2	2+1+1+1+1
90	tetragonal	8	8	1	2	5	2	2+1+1+1+1
90	tetragonal	8	8	1	2	5	2	2+1+1+1+1
90	tetragonal	8	4	2	2	1	2	2
90	tetragonal	8	4	2	2	1	2	2
91	tetragonal	8	8	1	1	5	2	2+1+1+1+1
91	tetragonal	8	8	1	4	2	2	2+2
91	tetragonal	8	8	1	1	5	2	2+1+1+1+1
91	tetragonal	8	8	1	4	2	2	2+2
91	tetragonal	8	4	2	1	4	1	1+1+1+1
91	tetragonal	8	4	2	2	1	2	2
92	tetragonal	8	8	1	1	5	2	2+1+1+1+1
92	tetragonal	8	8	1	4	2	2	2+2
92	tetragonal	8	8	1	2	5	2	2+1+1+1+1
92	tetragonal	8	8	1	4	2	2	2+2
92	tetragonal	8	4	2	2	1	2	2
92	tetragonal	8	4	2	4	4	1	1+1+1+1
93	tetragonal	8	8	1	1	5	2	2+1+1+1+1
93	tetragonal	8	8	1	2	5	2	2+1+1+1+1
93	tetragonal	8	8	1	1	5	2	2+1+1+1+1
93	tetragonal	8	8	1	2	5	2	2+1+1+1+1
93	tetragonal	8	4	2	1	4	1	1+1+1+1
93	tetragonal	8	4	2	1	4	1	1+1+1+1
94	tetragonal	8	8	1	1	5	2	2+1+1+1+1
94	tetragonal	8	8	1	2	5	2	2+1+1+1+1
94	tetragonal	8	8	1	2	5	2	2+1+1+1+1
94	tetragonal	8	8	1	2	5	2	2+1+1+1+1
94	tetragonal	8	4	2	2	1	2	2
94	tetragonal	8	4	2	2	1	2	2
95	tetragonal	8	8	1	1	5	2	2+1+1+1+1
95	tetragonal	8	8	1	4	2	2	2+2
95	tetragonal	8	8	1	1	5	2	2+1+1+1+1
95	tetragonal	8	8	1	4	2	2	2+2
95	tetragonal	8	4	2	1	4	1	1+1+1+1
95	tetragonal	8	4	2	2	1	2	2
96	tetragonal	8	8	1	1	5	2	2+1+1+1+1
96	tetragonal	8	8	1	4	2	2	2+2
96	tetragonal	8	8	1	2	5	2	2+1+1+1+1
96	tetragonal	8	8	1	4	2	2	2+2
96	tetragonal	8	4	2	2	1	2	2
96	tetragonal	8	4	2	4	4	1	1+1+1+1
97	tetragonal	8	8	1	1	5	2	2+1+1+1+1
97	tetragonal	8	8	1	1	5	2	2+1+1+1+1
97	tetragonal	8	4	2	1	4	1	1+1+1+1
97	tetragonal	8	4	2	1	4	1	1+1+1+1
98	tetragonal	8	8	1	1	5	2	2+1+1+1+1
98	tetragonal	8	8	1	2	5	2	2+1+1+1+1
98	tetragonal	8	4	2	1	4	1	1+1+1+1
98	tetragonal	8	4	2	4	1	2	2
111	tetragonal	8	8	1	1	5	2	2+1+1+1+1
111	tetragonal	8	8	1	1	5	2	2+1+1+1+1
111	tetragonal	8	8	1	1	5	2	2+1+1+1+1
111	tetragonal	8	8	1	1	5	2	2+1+1+1+1
111	tetragonal	8	4	2	1	4	1	1+1+1+1
111	tetragonal	8	4	2	1	4	1	1+1+1+1
112	tetragonal	8	8	1	1	5	2	2+1+1+1+1
112	tetragonal	8	8	1	2	5	2	2+1+1+1+1
112	tetragonal	8	8	1	1	5	2	2+1+1+1+1
112	tetragonal	8	8	1	2	5	2	2+1+1+1+1
112	tetragonal	8	4	2	1	4	1	1+1+1+1
112	tetragonal	8	4	2	2	4	1	1+1+1+1
113	tetragonal	8	8	1	1	5	2	2+1+1+1+1
113	tetragonal	8	8	1	1	5	2	2+1+1+1+1
113	tetragonal	8	8	1	2	5	2	2+1+1+1+1
113	tetragonal	8	8	1	2	5	2	2+1+1+1+1
113	tetragonal	8	4	2	2	1	2	2
113	tetragonal	8	4	2	2	1	2	2
114	tetragonal	8	8	1	1	5	2	2+1+1+1+1
114	tetragonal	8	8	1	2	5	2	2+1+1+1+1
114	tetragonal	8	8	1	2	5	2	2+1+1+1+1
114	tetragonal	8	8	1	1	5	2	2+1+1+1+1
114	tetragonal	8	4	2	2	1	2	2
114	tetragonal	8	4	2	2	1	2	2
115	tetragonal	8	8	1	1	5	2	2+1+1+1+1
115	tetragonal	8	8	1	1	5	2	2+1+1+1+1
115	tetragonal	8	8	1	1	5	2	2+1+1+1+1
115	tetragonal	8	8	1	1	5	2	2+1+1+1+1
116	tetragonal	8	8	1	1	5	2	2+1+1+1+1
116	tetragonal	8	8	1	2	5	2	2+1+1+1+1
116	tetragonal	8	8	1	1	5	2	2+1+1+1+1
116	tetragonal	8	8	1	2	5	2	2+1+1+1+1
117	tetragonal	8	8	1	1	5	2	2+1+1+1+1
117	tetragonal	8	8	1	1	5	2	2+1+1+1+1
117	tetragonal	8	8	1	2	5	2	2+1+1+1+1
117	tetragonal	8	8	1	2	5	2	2+1+1+1+1
118	tetragonal	8	8	1	1	5	2	2+1+1+1+1
118	tetragonal	8	8	1	2	5	2	2+1+1+1+1
118	tetragonal	8	8	1	2	5	2	2+1+1+1+1
118	tetragonal	8	8	1	2	5	2	2+1+1+1+1
119	tetragonal	8	8	1	1	5	2	2+1+1+1+1
119	tetragonal	8	8	1	1	5	2	2+1+1+1+1
119	tetragonal	8	4	2	1	4	1	1+1+1+1
119	tetragonal	8	4	2	1	4	1	1+1+1+1
120	tetragonal	8	8	1	1	5	2	2+1+1+1+1
120	tetragonal	8	8	1	1	5	2	2+1+1+1+1
